# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 1.3535030217146301e-55
1 1.194 45.703 1.3535030217146301e-55
2 1.194 44.297 1.3535030217146301e-55
3 1.791 45.000 1.3535030217146301e-55
4 1.791 46.406 1.3535030217146301e-55
5 2.388 47.109 1.3535030217146301e-55
6 2.388 45.703 1.3535030217146301e-55
7 2.986 46.406 1.3535030217146301e-55
8 1.791 43.594 1.3535030217146301e-55
9 2.388 44.297 1.3535030217146301e-55
10 2.388 42.891 1.3535030217146301e-55
11 2.986 43.594 1.3535030217146301e-55
12 2.986 45.000 1.3535030217146301e-55
13 3.583 45.703 1.3535030217146301e-55
14 3.583 44.297 1.3535030217146301e-55
15 4.182 45.000 1.3535030217146301e-55
16 2.986 47.812 1.1172521724390877e-66
17 3.583 48.516 1.1172521724390877e-66
18 3.583 47.109 1.1172521724390877e-66
19 4.182 47.812 1.1172521724390877e-66
20 4.182 49.219 1.1172521724390877e-66
21 4.780 49.922 1.1172521724390877e-66
22 4.780 48.516 1.1172521724390877e-66
23 5.379 49.219 1.1172521724390877e-66
24 4.182 46.406 1.1172521724390877e-66
25 4.780 47.109 1.1172521724390877e-66
26 4.780 45.703 1.1172521724390877e-66
27 5.379 46.406 1.1172521724390877e-66
28 5.379 47.812 1.1172521724390877e-66
29 5.979 48.516 1.1172521724390877e-66
30 5.979 47.109 1.1172521724390877e-66
31 6.580 47.812 1.1172521724390877e-66
32 2.986 42.188 1.5902886926319024e-28
33 3.583 42.891 1.5902886926319024e-28
34 3.583 41.484 1.5902886926319024e-28
35 4.182 42.188 1.5902886926319024e-28
36 4.182 43.594 1.5902886926319024e-28
37 4.780 44.297 1.5902886926319024e-28
38 4.780 42.891 1.5902886926319024e-28
39 5.379 43.594 1.5902886926319024e-28
40 4.182 40.781 1.5902886926319024e-28
41 4.780 41.484 1.5902886926319024e-28
42 4.780 40.078 1.5902886926319024e-28
43 5.379 40.781 1.5902886926319024e-28
44 5.379 42.188 1.5902886926319024e-28
45 5.979 42.891 1.5902886926319024e-28
46 5.979 41.484 1.5902886926319024e-28
47 6.580 42.188 1.5902886926319024e-28
48 5.379 45.000 2.5786528820501759e-36
49 5.979 45.703 2.5786528820501759e-36
50 5.979 44.297 2.5786528820501759e-36
51 6.580 45.000 2.5786528820501759e-36
52 6.580 46.406 2.5786528820501759e-36
53 7.181 47.109 2.5786528820501759e-36
54 7.181 45.703 2.5786528820501759e-36
55 7.783 46.406 2.5786528820501759e-36
56 6.580 43.594 2.5786528820501759e-36
57 7.181 44.297 2.5786528820501759e-36
58 7.181 42.891 2.5786528820501759e-36
59 7.783 43.594 2.5786528820501759e-36
60 7.783 45.000 2.5786528820501759e-36
61 8.386 45.703 2.5786528820501759e-36
62 8.386 44.297 2.5786528820501759e-36
63 8.989 45.000 2.5786528820501759e-36
64 5.379 50.625 4.1509570389380355e-77
65 5.979 51.328 4.1509570389380355e-77
66 5.979 49.922 4.1509570389380355e-77
67 6.580 50.625 4.1509570389380355e-77
68 6.580 52.031 4.1509570389380355e-77
69 7.181 52.734 4.1509570389380355e-77
70 7.181 51.328 4.1509570389380355e-77
71 7.783 52.031 4.1509570389380355e-77
72 6.580 49.219 4.1509570389380355e-77
73 7.181 49.922 4.1509570389380355e-77
74 7.181 48.516 4.1509570389380355e-77
75 7.783 49.219 4.1509570389380355e-77
76 7.783 50.625 4.1509570389380355e-77
77 8.386 51.328 4.1509570389380355e-77
78 8.386 49.922 4.1509570389380355e-77
79 8.989 50.625 4.1509570389380355e-77
80 7.783 53.438 2.7587772521115995e-86
81 8.386 54.141 2.7587772521115995e-86
82 8.386 52.734 2.7587772521115995e-86
83 8.989 53.438 2.7587772521115995e-86
84 8.989 54.844 2.7587772521115995e-86
85 9.594 55.547 2.7587772521115995e-86
86 9.594 54.141 2.7587772521115995e-86
87 10.200 54.844 2.7587772521115995e-86
88 8.989 52.031 2.7587772521115995e-86
89 9.594 52.734 2.7587772521115995e-86
90 9.594 51.328 2.7587772521115995e-86
91 10.200 52.031 2.7587772521115995e-86
92 10.200 53.438 2.7587772521115995e-86
93 10.807 54.141 2.7587772521115995e-86
94 10.807 52.734 2.7587772521115995e-86
95 11.415 53.438 2.7587772521115995e-86
96 7.783 47.812 5.6450866848566873e-44
97 8.386 48.516 5.6450866848566873e-44
98 8.386 47.109 5.6450866848566873e-44
99 8.989 47.812 5.6450866848566873e-44
100 8.989 49.219 5.6450866848566873e-44
101 9.594 49.922 5.6450866848566873e-44
102 9.594 48.516 5.6450866848566873e-44
103 10.200 49.219 5.6450866848566873e-44
104 8.989 46.406 5.6450866848566873e-44
105 9.594 47.109 5.6450866848566873e-44
106 9.594 45.703 5.6450866848566873e-44
107 10.200 46.406 5.6450866848566873e-44
108 10.200 47.812 5.6450866848566873e-44
109 10.807 48.516 5.6450866848566873e-44
110 10.807 47.109 5.6450866848566873e-44
111 11.415 47.812 5.6450866848566873e-44
112 10.200 50.625 6.1269042885893975e-51
113 10.807 51.328 6.1269042885893975e-51
114 10.807 49.922 6.1269042885893975e-51
115 11.415 50.625 6.1269042885893975e-51
116 11.415 52.031 6.1269042885893975e-51
117 12.025 52.734 6.1269042885893975e-51
118 12.025 51.328 6.1269042885893975e-51
119 12.636 52.031 6.1269042885893975e-51
120 11.415 49.219 6.1269042885893975e-51
121 12.025 49.922 6.1269042885893975e-51
122 12.025 48.516 6.1269042885893975e-51
123 12.636 49.219 6.1269042885893975e-51
124 12.636 50.625 6.1269042885893975e-51
125 13.248 51.328 6.1269042885893975e-51
126 13.248 49.922 6.1269042885893975e-51
127 13.862 50.625 6.1269042885893975e-51
128 5.379 39.375 9.6155679274329907e-14
129 5.979 40.078 9.6155679274329907e-14
130 5.979 38.672 9.6155679274329907e-14
131 6.580 39.375 9.6155679274329907e-14
132 6.580 40.781 3.6165739989583690e-16
133 7.181 41.484 3.6165739989583690e-16
134 7.181 40.078 3.6165739989583690e-16
135 7.783 40.781 3.6165739989583690e-16
136 6.580 37.969 1.4459230326770033e-08
137 7.181 38.672 1.4459230326770033e-08
138 7.181 37.266 1.4459230326770033e-08
139 7.783 37.969 1.4459230326770033e-08
140 7.783 39.375 4.8619250562244198e-10
141 8.386 40.078 4.8619250562244198e-10
142 8.386 38.672 4.8619250562244198e-10
143 8.989 39.375 4.8619250562244198e-10
144 7.783 42.188 9.3031565189566064e-19
145 8.386 42.891 9.3031565189566064e-19
146 8.386 41.484 9.3031565189566064e-19
