ID,RA,DEC,HEALPixels
0,0.00000000,-89.00010000,32768 32769 32770 45056 45057 45058
1,180.00000000,-89.00010000,36864 36865 36866 36867 40960 40961 40962 40963
2,38.21591792,-87.00010000,32771 32774 32775 32776 32777 32778 32779 32780 32800
3,110.21591792,-87.00010000,32772 32773 32784 36872 36873 36874 36875 36876 36896
4,182.21591792,-87.00010000,36868 36869 36870 36871 36880 40968 40969 40970 40971 40992
5,254.21591792,-87.00010000,40964 40965 40966 40967 40972 40976 45064 45066 45088
6,326.21591792,-87.00010000,45059 45060 45061 45062 45063 45065 45067 45068 45072
7,0.00000000,-85.00010000,32802 32803 32808 32809 32810 45073 45074 45075 45076 45077 45078
8,45.00000000,-85.00010000,32781 32782 32783 32786 32792 32793 32794 32801 32804 32805 32806
9,90.00000000,-85.00010000,32785 32787 32788 32789 32790 36897 36898 36899 36904 36905 36906
10,135.00000000,-85.00010000,36877 36878 36879 36882 36888 36889 36890 36900 36901 36902
11,180.00000000,-85.00010000,36881 36883 36884 36885 36886 40993 40994 40995 41000 41001 41002
12,225.00000000,-85.00010000,40973 40974 40975 40978 40984 40985 40986 40996 40997 40998
13,270.00000000,-85.00010000,40977 40979 40980 40981 40982 45089 45090 45091 45096 45097 45098
14,315.00000000,-85.00010000,45069 45070 45071 45080 45081 45082 45092 45093 45094
15,16.41125138,-83.00010000,32811 32812 32813 32814 32896 32897 32898 32899
16,49.13852410,-83.00010000,32795 32796 32798 32799 32807 32816 32817 32818 32824
17,81.86579683,-83.00010000,32791 32797 32832 32833 32834 32836 36992 36994
18,114.59306956,-83.00010000,36903 36907 36908 36909 36910 36914 36920 36993 36996
19,147.32034228,-83.00010000,36891 36892 36893 36894 36895 36912 36913 36915 36936
20,180.04761501,-83.00010000,36887 36928 36929 36930 36932 41003 41088 41089 41090 41096
21,212.77488774,-83.00010000,40999 41004 41005 41006 41007 41008 41010 41011 41092
22,245.50216047,-83.00010000,40983 40987 40988 40989 40990 41009 41012 41026 41032
23,278.22943319,-83.00010000,41024 41025 45099 45102 45184 45185 45186 45192
24,310.95670592,-83.00010000,45083 45095 45100 45101 45103 45104 45105 45106 45108
25,343.68397865,-83.00010000,45079 45084 45085 45086 45120 45121 45122 45123
26,0.00000000,-81.00010000,32904 32905 32906 32907 32928 45124 45125 45126 45127 45136
27,24.00000000,-81.00010000,32815 32826 32900 32901 32902 32903 32908 32912
28,48.00000000,-81.00010000,32819 32820 32821 32822 32823 32825 32827 32828 32864
29,72.00000000,-81.00010000,32835 32838 32839 32840 32841 32842 32843 32844
30,96.00000000,-81.00010000,32837 32848 36995 37000 37001 37002 37003 37004 37024
31,120.00000000,-81.00010000,36911 36921 36922 36923 36997 36998 36999 37008
32,144.00000000,-81.00010000,36916 36917 36918 36919 36924 36938 36939 36960
33,168.00000000,-81.00010000,36931 36933 36934 36935 36937 36940 36944
34,192.00000000,-81.00010000,41091 41094 41097 41098 41099 41100 41120
35,216.00000000,-81.00010000,41016 41017 41018 41019 41020 41093 41095 41104
36,240.00000000,-81.00010000,40991 41013 41014 41015 41033 41034 41035 41056
37,264.00000000,-81.00010000,41027 41028 41029 41030 41031 41036 41040 45194 45216
38,288.00000000,-81.00010000,45187 45188 45189 45190 45191 45193 45195 45196
39,312.00000000,-81.00010000,45107 45110 45111 45112 45113 45114 45115 45116 45200
40,336.00000000,-81.00010000,45087 45109 45128 45129 45130 45131 45132 45152
41,10.48178024,-79.00010000,32910 32929 32930 32931 32932 32933 32934 32936 32937 32938
42,30.48178024,-79.00010000,32909 32911 32913 32914 32915 32916 32918 32920 32921 32922
43,50.48178024,-79.00010000,32829 32830 32831 32866 32867 32870 32872 32873 32874 32917
44,70.48178024,-79.00010000,32845 32846 32847 32850 32856 32857 32858 32865 32868 32869
45,90.48178024,-79.00010000,32849 32851 32852 32853 32854 37025 37026 37027 37032 37033 37034
46,110.48178024,-79.00010000,37005 37006 37007 37010 37016 37018 37028 37029 37030
47,130.48178024,-79.00010000,36925 36926 36927 36970 37009 37011 37012 37013 37014 37017
48,150.48178024,-79.00010000,36942 36943 36954 36961 36962 36963 36964 36965 36966 36968 36969
49,170.48178024,-79.00010000,36941 36945 36946 36947 36948 36949 36950 36952 36953
50,190.48178024,-79.00010000,41102 41121 41122 41123 41124 41125 41126 41128 41129 41130
51,210.48178024,-79.00010000,41101 41103 41105 41106 41107 41108 41110 41112 41113 41114
52,230.48178024,-79.00010000,41021 41022 41023 41058 41059 41062 41064 41065 41066 41109
53,250.48178024,-79.00010000,41037 41038 41039 41042 41048 41049 41050 41057 41060 41061
54,270.48178024,-79.00010000,41041 41043 41044 41045 41046 45217 45218 45219 45224 45225 45226
55,290.48178024,-79.00010000,45197 45198 45199 45202 45208 45210 45220 45221 45222
56,310.48178024,-79.00010000,45117 45118 45119 45162 45201 45203 45204 45205 45206 45209
57,330.48178024,-79.00010000,45134 45135 45146 45153 45154 45155 45156 45157 45158 45160 45161
58,350.48178024,-79.00010000,45133 45137 45138 45139 45140 45141 45142 45144 45145
59,0.00000000,-77.00010000,32939 33280 33281 33282 33283 33288 45143 45312 45313 45314 45315 45316
60,17.14285714,-77.00010000,32935 32940 32941 32942 32943 32944 32946 32952 33284
61,34.28571429,-77.00010000,32919 32923 32924 32925 32926 32927 32945 32947 32948 32962 32968
62,51.42857143,-77.00010000,32875 32876 32877 32878 32879 32888 32960 32961 32963 32964
63,68.57142857,-77.00010000,32859 32860 32862 32863 32871 32880 32881 32882 32883 32884
64,85.71428571,-77.00010000,32855 32861 33024 33025 33026 33027 33028 33032 37376 37378 37384
65,102.85714286,-77.00010000,37031 37035 37036 37037 37038 37039 37377 37379 37380
66,120.00000000,-77.00010000,37019 37020 37021 37022 37023 37040 37041 37042 37043 37044
67,137.14285714,-77.00010000,36971 36972 36974 36975 37015 37056 37057 37058 37059 37060 37064
68,154.28571429,-77.00010000,36955 36958 36967 36973 36976 36977 36978 36979 36980 36984
69,171.42857143,-77.00010000,36951 36956 36957 36959 37120 37121 37122 37123 37124 37128
70,188.57142857,-77.00010000,41131 41132 41134 41135 41472 41473 41474 41475 41476 41480
71,205.71428571,-77.00010000,41115 41118 41127 41133 41136 41137 41138 41139 41140 41144
72,222.85714286,-77.00010000,41067 41111 41116 41117 41119 41152 41153 41154 41155 41156 41160
73,240.00000000,-77.00010000,41063 41068 41069 41070 41071 41072 41073 41074 41075 41080
74,257.14285714,-77.00010000,41047 41051 41052 41053 41054 41055 41218 41219 41224
75,274.28571429,-77.00010000,41216 41217 41220 45227 45230 45568 45569 45570 45571 45572 45576
76,291.42857143,-77.00010000,45211 45223 45228 45229 45231 45232 45233 45234 45235 45240
77,308.57142857,-77.00010000,45207 45212 45213 45214 45215 45236 45248 45250 45251 45256
78,325.71428571,-77.00010000,45159 45163 45164 45165 45166 45167 45170 45171 45176 45249 45252
79,342.85714286,-77.00010000,45147 45148 45149 45150 45151 45168 45169 45172 45320
80,7.72745694,-75.00010000,33286 33287 33289 33290 33291 33292 33312
81,22.72745694,-75.00010000,32950 32953 32954 32955 32956 33285 33296
82,37.72745694,-75.00010000,32949 32951 32969 32970 32971 32972 32992
83,52.72745694,-75.00010000,32890 32891 32965 32966 32967 32976
84,67.72745694,-75.00010000,32885 32886 32887 32889 32892 33034 33035 33056
85,82.72745694,-75.00010000,33029 33030 33031 33033 33036 33040
86,97.72745694,-75.00010000,37382 37383 37385 37386 37387 37388 37408
87,112.72745694,-75.00010000,37046 37048 37049 37050 37051 37052 37381 37392
88,127.72745694,-75.00010000,37045 37047 37065 37066 37067 37068 37088
89,142.72745694,-75.00010000,36986 36987 37061 37062 37063 37072
90,157.72745694,-75.00010000,36981 36982 36983 36985 36988 37130 37131 37152
91,172.72745694,-75.00010000,37125 37126 37127 37129 37132 37136
92,187.72745694,-75.00010000,41478 41479 41481 41482 41483 41484 41504
93,202.72745694,-75.00010000,41142 41145 41146 41147 41148 41477 41488
94,217.72745694,-75.00010000,41141 41143 41161 41162 41163 41164 41184
95,232.72745694,-75.00010000,41082 41083 41157 41158 41159 41168
96,247.72745694,-75.00010000,41076 41077 41078 41079 41081 41084 41226 41227 41248
97,262.72745694,-75.00010000,41221 41222 41223 41225 41228 41232
98,277.72745694,-75.00010000,45574 45575 45577 45578 45579 45580 45600
99,292.72745694,-75.00010000,45238 45241 45242 45243 45244 45573 45584
100,307.72745694,-75.00010000,45237 45239 45257 45258 45259 45260 45280
101,322.72745694,-75.00010000,45178 45179 45253 45254 45255 45264
