Method,Dataset,Budget,w_max,w_acc,nPath,mapTiles,SumProb,SumProbBound,TilingTime,PlanningTime,IsValid,path 0,path 1,path 2,path 3
greedy+annealing,GW191103_012549_638.txt,100,10,10,4,638,0.619829,0.619829,0.194315,4.26121,true,1533 3549 3633 3715 3797 3876 3955 4031 4106 4178 4249 4317 4384 4448 4511 4571 4572 4630 4685 4684 4738 4788 4836 4880 4922 4961 4998 5031 5062 5089 5114 5135 5154 5153 5152 5168 5169 5170 5155 5136 5115 5090 5063 5032 4999 4962 4923 4881 -1,3268 4550 4665 4719 4820 4865 4908 4948 4986 4987 5021 5053 5054 5082 5108 5130 5151 5131 5132 5182 5183 5171 5156 5137 5116 5091 4737 4629 4512 4449 4385 4318 4250 4179 3716 3634 3464 3377 3291 3203 3115 3025 2936 2846 -1,159 2304 2394 2484 2575 2665 2756 2845 3114 3202 3290 3378 3465 3550 3796 3954 4030 4105 4837 4787 4835 5134 5133 5109 5083 5081 4949 4909 4819 4770 4720 4609 4489 4426 4361 4293 4153 -1,1971 2666 2576 2485 2395 2036 2124 2214 2303 2664 2755 2937 3026 3798 3877 3956 4032 4107 4879 4960 5064 5191 5181 5167 5022 4866 4771 4666 4610 4551 4490 4425 4294 4225 4080 -1
greedy+ilp,GW191103_012549_638.txt,100,10,10,4,638,0.619464,0.619464,0.18024,3691.07,true,1533 3549 3633 3715 3797 3876 3955 4031 4106 4178 4249 4317 4384 4448 4511 4571 4572 4630 4685 4684 4738 4788 4836 4880 4922 4961 4998 5031 5062 5089 5114 5135 5154 5153 5152 5168 5169 5170 5155 5136 5115 5090 5063 5032 4999 4962 4923 4881 -1,3268 4550 4665 4719 4820 4865 4908 4948 4986 4987 5021 5053 5054 5082 5108 5130 5151 5131 5132 5182 5183 5171 5156 5137 5116 5091 4737 4629 4512 4449 4385 4318 4250 4179 3716 3634 3464 3377 3291 3203 3115 3025 2936 2846 -1,159 2395 2304 2394 2484 2575 2576 2665 2756 2845 3114 3202 3290 3378 3465 3550 3796 3954 4030 4105 4837 4787 4835 5134 5133 5109 5083 5081 4949 4909 4819 4770 4720 4426 4361 4293 4153 -1,1971 2036 2124 2214 2303 2664 2755 2485 2666 2757 2847 2937 3026 3798 3877 3956 4032 4107 4879 4960 5064 5191 5181 5167 5022 4866 4771 4666 4610 4609 4489 4425 4294 4225 4080 -1
top_annealing,GW191103_012549_638.txt,100,10,10,4,638,0.630104,0.630104,0.188755,1.54444,true,1971 3635 3716 3798 3877 4031 4106 4178 4249 4317 4384 4448 4511 4571 4572 4630 4685 4738 4788 4836 4880 4922 4961 4998 4962 4999 5032 5063 5062 5089 5115 5137 5156 5155 5135 5113 5134 5154 5170 5169 5153 5133 5110 5132 5152 5168 -1,3268 2371 3175 3928 4005 4004 4080 4153 4225 4293 4361 4426 4425 4489 4550 4609 4665 4719 4770 4720 4771 4820 4865 4908 4948 4986 5054 5082 5083 5109 5131 5151 -1,1533 2576 2666 2846 2936 3025 2937 3026 3115 3203 3291 3464 3549 3633 3796 3954 4030 4105 4629 4684 4737 4837 4881 4923 5031 5114 5136 5171 5183 5191 5182 5181 5167 5150 5130 5108 5081 5053 5021 4987 4949 4909 4866 4819 -1,159 2036 2124 2214 2394 2304 2395 2485 2484 2575 2664 2665 2756 2845 3114 3202 3290 3377 3378 3465 3550 3634 3715 3797 3876 3955 3956 4032 4107 4179 4250 4318 4385 4449 4512 4787 4835 4879 4960 5090 5116 5091 5064 -1
top_ILP,GW191103_012549_638.txt,100,10,10,4,638,0.637774,0.644933,0.188755,3602.31,true,1971 4739 4789 4837 4881 4923 4962 4999 5032 5064 5091 5116 5090 5063 5115 5136 5156 5171 5137 5155 5113 5170 5183 5191 5182 5169 5181 5168 5133 5153 5152 5132 5110 5083 5109 5131 5151 5167 5150 5130 5108 5082 5054 5022 -1,3268 3175 4005 4080 4153 4225 4294 4293 4361 4426 4490 4551 4610 4666 4720 4771 4820 4865 4866 4909 4949 4987 5021 5053 5081 5020 4986 4948 4908 4864 4819 4770 4719 4665 4609 4550 4489 4425 -1,1533 2485 2575 2665 2576 2666 2756 2846 2937 3026 3115 3203 3291 3378 3465 3550 3634 3716 3798 3877 4031 3955 3956 4032 4107 4179 4250 4318 4385 4449 4512 4572 4630 4685 4738 4788 4836 4880 4922 4961 4998 5031 5062 5089 5114 5135 5154 5134 -1,159 1947 2035 2036 2124 2214 2303 2394 2304 2395 2484 2664 2755 2845 2936 3025 3114 3202 3290 3377 3464 3549 3633 3796 3715 3797 3876 3954 4030 4106 4178 4249 4317 4384 4448 4511 4571 4629 4684 4737 4787 4835 4879 4960 -1
greedy+annealing,GW191109_010717_549.txt,100,10,10,4,549,0.781192,0.781192,0.15849,3.31474,true,1533 1605 1604 1522 1439 1359 1279 1202 1126 1201 1125 1052 1124 1051 979 910 1050 978 909 841 908 840 775 907 839 774 838 773 837 772 836 771 770 835 902 834 901 833 900 968 899 967 1038 1110 1185 1184 1260 -1,3268 2010 1922 1836 1749 1580 1665 1581 1499 1418 1339 1261 1109 1037 1039 832 769 903 904 905 906 977 776 842 911 980 1053 1278 1358 1438 1521 1203 1280 1440 1690 1775 1863 1776 1864 1950 2039 -1,1971 2398 2307 2218 2128 2040 1951 1691 1606 1523 1689 1200 1123 1049 710 649 709 648 708 707 706 768 969 1040 1111 898 966 1500 1338 1417 1664 1750 1923 2098 2187 2097 2009 -1,159 2129 2308 2399 2489 2669 2579 2488 2038 1777 1360 1127 843 778 777 712 976 711 650 647 646 970 1582 1835 2186 2275 2365 2455 2366 2276 -1
greedy+ilp,GW191109_010717_549.txt,100,10,10,4,549,0.783203,0.783203,0.156899,5148.36,true,1533 1605 1604 1522 1439 1359 1279 1202 1126 1201 1125 1052 1124 1051 979 910 1050 978 909 841 908 840 775 907 839 774 838 773 837 772 836 771 770 835 902 834 901 833 900 968 899 967 1038 1110 1185 1184 1260 -1,3268 2010 1922 1836 1749 1665 1581 1499 1418 1339 1261 1109 1037 1039 832 768 769 903 904 905 906 977 776 842 911 980 1278 1358 1438 1521 1280 1360 1440 1690 1606 1691 1776 1863 1950 1864 1951 2039 -1,1971 2218 2128 2040 1775 1689 1523 1203 1127 1053 1200 1123 1049 976 710 649 709 648 708 707 706 969 1040 1111 898 966 1500 1338 1417 1580 1664 1750 1923 2098 2187 2097 2009 -1,159 2129 2308 2399 2489 2669 2579 2488 2398 2307 2217 2127 2038 1777 981 843 778 777 712 711 650 647 646 1582 1835 2186 2275 2276 2366 2455 2365 -1
top_annealing,GW191109_010717_549.txt,100,10,10,4,549,0.793594,0.793594,0.182878,1.28193,true,1971 2129 2040 1357 1278 1201 712 651 711 650 649 710 773 709 648 647 646 706 705 769 833 900 968 899 967 898 966 1339 1340 1261 1185 1038 1039 1040 969 970 902 903 836 904 905 -1,3268 2011 1923 1837 1750 1665 1581 1666 1582 1500 1418 1338 1417 1499 1580 1664 1749 1836 1922 1835 2009 2097 2010 2098 2187 2276 2366 2275 2186 2365 2455 2545 -1,1533 2669 2579 2399 2308 2398 2307 2218 2128 2039 1951 1777 1864 1950 2038 1863 1776 1691 1606 1523 1605 1690 1775 1689 1604 1522 1440 1360 1359 1280 1203 1127 1053 981 779 778 843 911 980 1123 1050 978 909 908 977 1049 -1,159 1439 1521 1438 1358 1279 1202 1126 1125 1052 1200 1124 1051 979 910 842 777 841 776 775 840 976 907 839 774 906 838 837 772 708 707 771 835 770 834 901 768 832 1111 1186 1110 1037 1109 1184 1260 -1
top_ILP,GW191109_010717_549.txt,100,10,10,4,549,0.797351,0.805539,0.182878,3601.67,true,1971 2850 2760 2669 2579 2489 2399 2488 2308 2398 2307 2218 2129 2040 2128 2217 2127 2039 1951 1864 1777 1691 1606 1523 1605 1604 1522 1440 1360 1439 1603 1438 1358 1279 1280 1359 1203 1127 1202 1126 1053 981 911 980 -1,3268 2276 2187 2098 2010 1923 1837 1750 1665 1418 1500 1582 1666 1581 1499 1417 1580 1664 1749 1836 1922 1835 2009 2097 2186 2275 2365 2366 2455 2545 2011 -1,1533 2038 1950 1863 1776 1690 1775 1689 1521 1357 1278 1201 1125 1052 1200 1124 1051 979 910 842 909 978 1050 1123 1049 977 908 976 907 839 774 711 775 840 906 838 905 837 772 708 771 707 770 835 903 836 904 -1,159 778 843 777 841 776 712 650 649 710 773 709 648 647 646 706 769 834 902 901 833 900 832 768 899 970 969 1040 968 1039 1111 1038 967 898 966 1037 1110 1185 1109 1184 1261 1260 1339 1338 -1
greedy+annealing,GW191126_115259_535.txt,100,10,10,4,535,0.636973,0.636973,0.177391,3.2634,true,3268 4359 4291 4222 4150 4077 4001 3924 3428 3341 3254 3166 3429 3514 3599 3681 3682 3764 3844 3923 4000 4076 4149 4221 4290 4423 4424 4488 4549 4608 4664 4609 4665 4719 4770 4720 4771 4820 4821 4866 4949 4910 4950 4988 4989 5024 5056 -1,1971 1144 1220 1297 1620 5059 5086 5058 5057 4990 5023 4951 4867 4909 4865 4548 4487 4358 3763 3255 3165 3077 2988 2808 2898 2807 -1,1533 2051 1790 1705 1538 1456 1071 930 931 863 798 674 -1,159 504 503 614 673 734 1000 1072 999 1376 1877 1963 -1
greedy+ilp,GW191126_115259_535.txt,100,10,10,4,535,0.644442,0.644442,0.468768,15229.1,true,3268 3924 4001 4077 4150 4222 4291 4359 4424 4488 4549 4609 4665 4720 4771 4821 4866 4910 4950 4989 4988 4949 4820 4770 4719 4664 4608 4548 4487 4423 4358 4290 4221 4149 4076 4000 3923 3844 3764 3682 3681 3599 3514 3429 3428 3341 3254 3166 -1,1971 1071 1144 1220 1297 1456 1538 1620 5059 5086 5058 5057 5056 5024 4990 5023 4951 4867 4865 4909 -1,1533 930 931 863 798 734 674 2537 2627 2718 2807 2808 2898 2987 3077 3165 2988 3078 3255 3513 3598 3763 3843 -1,159 614 673 1000 1072 999 1376 1705 1790 1877 1963 2051 -1
