Method,Dataset,Budget,w_max,w_acc,nPath,mapTiles,SumProb,SumProbBound,TilingTime,PlanningTime,IsValid,path 0,path 1,path 2,path 3
greedy+annealing,GW191113_071753_952.txt,10,10,10,4,952,0.061058,0.061058,0.0960429,0.586921,true,1533 911 1051 -1,159 540 655 -1,3268 1123 -1,1971 343 -1
greedy+ilp,GW191113_071753_952.txt,10,10,10,4,952,0.061058,0.061058,0.0860012,384.12,true,1533 911 1051 -1,159 655 540 -1,3268 1123 -1,1971 343 -1
top_annealing,GW191113_071753_952.txt,10,10,10,4,952,0.061058,0.061058,0.0863344,0.0141326,true,1971 343 -1,3268 1123 -1,1533 911 1051 -1,159 540 655 -1
top_ILP,GW191113_071753_952.txt,10,10,10,4,952,0.061058,0.061058,0.0863344,2010.78,true,1971 343 -1,3268 1123 -1,1533 911 1051 -1,159 540 655 -1
greedy+annealing,GW191113_071753_952.txt,50,10,10,4,952,0.418123,0.418123,0.0893956,2.31114,true,159 343 487 541 486 540 596 655 779 778 911 910 979 1051 1124 1199 1276 1434 1354 1275 1198 1123 1050 -1,1533 388 342 387 436 485 484 539 595 654 715 843 909 978 1049 1122 1121 1197 1274 1433 1516 1355 -1,3268 1514 1432 1353 1515 1597 1598 1200 1052 980 912 844 780 716 656 538 594 653 714 777 842 -1,1971 300 260 259 299 341 386 385 434 1196 1273 1596 1681 1766 1853 2028 1940 1854 1767 1682 -1
greedy+ilp,GW191113_071753_952.txt,50,10,10,4,952,0.418123,0.418123,0.0863901,1264.78,true,159 343 487 541 486 540 596 655 779 778 911 910 979 1051 1124 1276 1199 1123 1050 1198 1275 1354 1434 -1,1533 388 342 387 436 485 484 539 595 654 715 843 909 978 1049 1122 1121 1197 1274 1433 1516 1355 -1,3268 1514 1432 1353 1515 1597 1598 1200 1052 980 912 844 780 716 656 538 594 653 714 777 842 -1,1971 300 260 259 299 341 386 385 434 1196 1273 1596 1681 1766 1853 2028 1940 1854 1767 1682 -1
top_annealing,GW191113_071753_952.txt,50,10,10,4,952,0.426202,0.426202,0.0860084,0.142951,true,1971 300 260 259 436 487 597 541 435 434 384 484 538 594 653 714 778 911 980 1052 1200 -1,3268 2027 2028 1940 1767 1853 1766 1681 1596 1514 1432 1273 1196 1121 1197 1274 1353 1433 1515 1597 1682 1598 1516 -1,1533 343 299 342 388 387 341 386 385 485 539 595 654 715 716 780 844 912 909 978 1049 1122 -1,159 486 540 596 656 655 779 843 777 842 910 979 1051 1124 1050 1123 1199 1276 1355 1434 1354 1275 1198 -1
top_ILP,GW191113_071753_952.txt,50,10,10,4,952,0.433927,0.438697,0.0860084,3602.88,true,1971 261 260 300 343 388 342 387 436 487 486 541 597 656 596 540 485 539 595 655 716 780 -1,3268 2027 2028 1940 1853 1766 1681 1596 1514 1432 1273 1196 1121 1197 1274 1353 1433 1515 1598 1597 1682 1767 1854 -1,1533 777 842 910 979 1051 1124 1200 1355 1276 1199 1123 1050 978 909 977 1049 1122 1198 1275 1354 1434 1516 -1,159 259 299 341 386 435 385 434 384 484 538 594 654 715 779 844 912 1052 980 911 843 778 714 653 -1
greedy+annealing,GW191113_071753_952.txt,100,10,10,4,952,0.562891,0.562891,0.208748,7.6745,true,159 343 388 342 387 436 487 541 486 540 596 716 655 595 539 485 484 538 653 654 715 779 844 778 843 911 980 1124 1051 979 910 909 1049 1121 1197 1274 1433 1516 1434 1354 1275 1198 1122 1050 1123 1199 1276 1355 -1,1533 300 260 259 299 341 386 435 385 339 384 434 597 656 780 912 1052 1200 1435 1598 1515 1597 1682 1767 1854 1940 2028 2027 1939 1853 1766 1681 1596 1514 1432 1353 1273 1196 977 978 841 842 777 714 594 -1,3268 2384 2294 2205 2116 2115 1852 1765 1680 1595 1513 1431 1352 1048 908 776 713 652 593 537 483 433 296 340 297 257 219 258 298 220 221 186 153 125 126 154 222 261 301 344 389 438 437 488 542 -1,1971 3149 3061 2971 2791 4137 4279 4413 3584 3325 3238 -1
greedy+ilp,GW191113_071753_952.txt,100,10,10,4,952,0.567391,0.567391,0.193359,4774.1,true,159 259 299 343 388 342 387 436 487 541 486 485 540 596 655 716 779 715 654 595 539 484 538 653 714 778 843 911 980 1124 1051 979 910 909 978 1050 1123 1199 1276 1355 1434 1354 1275 1198 1122 1049 1121 1197 1274 -1,1533 300 260 341 386 435 385 339 384 434 597 656 780 844 912 1052 1200 1435 1516 1598 1353 1433 1515 1597 1682 1767 1854 1940 2028 2027 1939 1853 1766 1681 1596 1514 1432 1352 1273 1196 1048 977 908 841 777 842 -1,3268 2384 2294 2205 2116 2115 1852 1765 1680 1595 1513 1431 1351 1272 1120 776 713 652 593 537 483 594 433 256 296 340 297 257 219 258 298 220 221 186 153 125 154 222 261 344 389 438 437 488 542 -1,1971 2791 2971 3061 3149 3238 3325 3498 3584 3987 4064 4137 -1
