Method,Dataset,Budget,w_max,w_acc,nPath,mapTiles,SumProb,SumProbBound,TilingTime,PlanningTime,IsValid,path 0,path 1,path 2,path 3
greedy+annealing,GW191103_012549_119.txt,100,10,10,4,119,0.912327,0.912327,0.0463124,0.369163,true,259 563 612 658 703 742 779 809 810 836 855 856 869 870 871 872 859 860 843 844 820 819 790 791 756 718 717 674 629 628 579 529 475 476 -1,26 369 422 423 528 580 861 877 743 702 659 613 513 460 408 409 356 -1,552 461 357 307 308 259 260 317 368 424 477 673 755 -1,333 318 316 370 530 675 757 818 842 858 857 876 854 835 837 780 564 512 562 -1
greedy+ilp,GW191103_012549_119.txt,100,10,10,4,119,0.912327,0.912327,0.0462677,56.1314,true,259 563 612 658 703 742 779 809 810 836 855 856 869 870 871 872 859 860 843 844 820 819 790 791 756 718 717 674 629 628 579 529 476 475 -1,26 369 422 423 528 580 861 877 743 702 659 613 513 460 408 409 356 -1,552 461 357 307 308 259 260 317 368 424 477 673 755 -1,333 318 316 370 530 675 757 818 842 858 857 876 854 835 837 780 564 512 562 -1
top_annealing,GW191103_012549_119.txt,100,10,10,4,119,0.928397,0.928397,0.0457638,0.0898572,true,333 530 579 578 628 629 674 673 717 756 755 790 819 842 859 860 861 873 872 871 870 856 855 837 836 810 809 779 780 743 703 658 612 -1,552 611 562 512 563 564 461 357 308 260 261 216 217 -1,259 259 307 306 356 409 408 460 513 613 659 702 742 835 854 869 876 877 -1,26 318 317 316 368 369 370 424 423 422 475 528 476 477 529 580 675 718 757 791 820 844 843 -1
top_ILP,GW191103_012549_119.txt,100,10,10,4,119,0.933406,0.935392,0.0457638,3603.7,true,333 675 718 674 629 673 717 755 756 791 790 819 820 844 843 842 859 860 861 873 872 877 876 870 869 854 835 836 855 837 856 857 858 871 -1,552 809 810 780 779 742 743 703 702 658 659 613 612 562 512 563 564 513 460 461 408 -1,259 259 357 409 356 307 308 260 261 215 216 217 -1,26 265 316 317 318 369 368 422 475 528 578 579 628 580 530 529 476 477 424 423 370 -1
greedy+annealing,GW191109_010717_107.txt,100,10,10,4,107,0.963158,0.963158,0.0661121,0.422776,true,259 171 172 173 174 219 220 267 318 370 425 371 319 269 268 221 176 175 136 135 134 133 132 131 130 169 168 167 210 209 255 254 303 353 -1,552 560 510 457 405 304 129 170 96 97 98 137 177 222 320 424 477 478 531 532 582 631 -1,26 178 223 270 372 426 479 581 632 863 865 610 458 406 352 -1,333 847 846 866 867 656 609 561 354 302 166 211 -1
greedy+ilp,GW191109_010717_107.txt,100,10,10,4,107,0.963158,0.963158,0.0465565,49.9151,true,259 171 172 173 174 219 220 267 318 370 425 371 319 269 268 221 176 175 136 135 134 133 132 131 130 169 168 167 210 209 255 254 303 353 -1,552 560 510 457 405 304 129 170 96 97 98 137 177 222 320 424 477 478 531 532 582 631 -1,26 178 223 270 372 426 479 581 632 863 865 610 458 406 352 -1,333 847 846 866 867 656 609 561 354 302 166 211 -1
top_annealing,GW191109_010717_107.txt,100,10,10,4,107,0.971324,0.971324,0.0462905,0.128029,true,333 677 721 823 846 847 863 864 865 866 867 -1,552 609 656 610 560 510 457 458 405 406 354 352 -1,259 211 210 255 304 353 303 254 209 166 167 129 168 169 170 171 172 173 174 218 219 175 136 176 221 220 266 267 268 318 319 370 371 424 -1,26 99 98 97 96 130 131 132 133 134 135 137 177 178 223 222 269 270 320 321 372 425 477 478 426 479 532 531 581 582 583 632 631 -1
top_ILP,GW191109_010717_107.txt,100,10,10,4,107,0.973724,0.974655,0.0462905,61.3773,true,333 583 582 631 632 677 846 847 863 864 865 866 867 -1,552 609 656 610 560 561 510 509 457 458 406 354 -1,259 169 170 171 172 173 174 218 219 220 266 267 268 221 177 178 222 223 270 269 319 318 369 370 371 320 321 372 426 425 424 477 478 479 532 531 581 -1,26 137 176 175 136 135 99 98 134 133 97 96 132 131 130 129 168 211 210 167 166 209 255 304 254 303 353 352 405 -1
greedy+annealing,GW191113_071753_172.txt,100,10,10,4,172,0.877181,0.877181,0.0643027,0.603128,true,26 26 27 47 46 73 72 102 101 137 136 100 70 71 45 44 69 99 134 135 175 174 173 217 216 262 312 362 416 363 364 314 313 263 264 218 219 265 -1,333 443 497 498 549 600 552 694 774 735 693 648 -1,552 444 550 601 599 647 649 695 736 773 775 -1,259 176 25 12 28 48 390 391 445 499 737 776 807 -1
greedy+ilp,GW191113_071753_172.txt,100,10,10,4,172,0.882108,0.882108,0.0547897,105.706,true,26 26 27 47 73 72 46 102 71 45 44 70 69 99 100 101 137 136 175 219 265 218 174 135 134 173 217 216 262 263 264 314 364 313 312 362 363 416 -1,552 649 694 693 648 600 550 549 498 497 444 443 -1,333 391 599 647 601 695 735 736 775 774 773 -1,259 176 25 12 28 48 390 445 499 737 806 807 776 -1
